ID,CATEGORY,TEXT,COUNTER NARRATIVES
1,Homophobic-derogation,"ஓரின gay lesbian சேர்க்கை தவறானது தான் ஓரின gay lesbian சேர்க்கை சரியானது என்பவர்கள்
  தவறானவர்களே 5 அறிவு உயிரி கூட அதன் துணை அறிந்து சேரும்","அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
2,Transphobic-Threatening,அந்த பொட்டைங்கள சாக சொல்லு,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3,Transphobic-Threatening,இவள்ங்களை துடைப்பங்கட்டையா அடிக்கனும்,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
4,Transphobic-derogation,இந்த திருநங்கை தொல்லை தாங்கமுடியல,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
5,Homophobic-derogation,இது இயற்கைனு சொல்ற அறிவாளிகளே ஆணும் பெண்ணும் இணைவதுதான் இயற்கை ஓரினச் சேர்க்கை இயற்கைக்கு விரோதம் எதிர்பாலின ஈர்ப்பே தெளிவான மனநிலை ஓரினச் சேர்ககையென்பது ஒருவித மனநோய் தான் இதையும் தனிமனித உரிமைனு போர்க்கொடி அரைவேக்காடுகளை என்ன செய்வதென்று தெரியவில்லை,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
6,Homophobic-derogation,"ஒரு ஆண் மிருகம் ஆண் மிருகத்தோடு இன்பம் காண்பதில்லை ஓரினச்சேர்கை மிருக
  உறவைவிட கேவலமானது இந்த தவறான உறவு முறை மாற்றப்பட வேண்டும் இப்படு 
 பட்டவர்கள் மனந்திரும்புதலுக்காக இறைவனிடம் மன்றாடவேண்டும்","வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
7,Transphobic-derogation,இவன்ர் சொல்வது அனைத்தும் பொய்99திருநங்கைகள் பாலியல் தொழில் வலுக்கட்டாயமாக செய்யப்படுவது இல்லை இஷ்டப்பட்டே செய்கிறார்கள் இவர்களால் தான் எய்ட்ஸ் பரவியது இவர்கள் ஏன் திருநங்கைகளாக மாறுகிரார்கள் பென் தன்மை அதிகமாக இருந்தால் அதற்கு வைத்தியம் தேட வேன்டும் அதை விடுத்து திருநங்கையாக ஏன் மாற வேண்டும் பிறகு ஏன் புலம்ப வேன்டும் பாலியல் தொழில் ஏன் செய்ய வேண்டும் வீட்டிலேயே இருந்தால் அம்மா அப்பாவோ அன்னன் தம்பியோ இன்றில்லை நாளை பார்த்துக்கொள்வார்கள் இப்படி வெளியே வந்து ஏன் சின்னப்பட வேண்டும் சிந்தியுங்கள் இந்த சாக்கடையில் யார் உங்களை தள்ளியது என்ன என்ன ஆசை வார்த்தை கூறி இதில் இழுத்து விட்டார்கள் அந்த தருணத்தை நினைத்து பாருங்கள் உன்மை புரியும்,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
8,Homophobic-derogation,மனித இனத்துக்கு எதிரானது,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
9,Transphobic-derogation,அரவாணிய கொல்லனும் உழைக்காம பிச்ச எடுத்து திங்கிற நாய்ங்க,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
10,Homophobic-derogation,இறைவனாகிய கர்த்தருக்கு விரொதமான அருவருப்பான செயல்,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
11,Homophobic-derogation,எந்த விலங்கு ஓரினச் சேர்க்கையில் ஈடுபடுகிறது அப்படி நாங்கள் செய்தால் விலங்கை விட கேவலமானவர்கள்,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
12,Homophobic-derogation,கொப்பனும்ஆத்தாலும் சேராம போனா நீயும்தான் போறக்க முடியுமாஇல்லை இப்டி வந்து நக்கீரன்ல பேட்டிதான் கொடுக்க முடியுமா,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
13,Homophobic-derogation,போட பொட்ட நீ சப்படா ஒருத்தியும உன்னை விரும்பமாட்டா காரணம் உன்வாய்,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
14,Homophobic-derogation,ஒரினசேர்க்கை குற்றம் தான்விபசாரம் குற்றமா இல்லையா யாராவது வக்கீல் இந்த கேள்வியை நீதிமன்றத்தில் பொதுநல வழக்காக பதிந்தால் நலம்,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
15,Homophobic-derogation,பெண்ணே மிருகங்கள் கூட இப்படிச் செய்வதில்லை ஆறறிவுள்ள நீ ஏன் ஆதை ஆதரிக்கிறாய்,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
16,Homophobic-derogation,ஓரினச்சேர்க்கை என்பது பாவமா ஆம் பரிசுத்த வேதம் சொல்கிறது ஓரினச்சேர்க்கை என்பது பாவம்,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
17,Homophobic-derogation,மிறுகங்கள் கூட ஆணும் ஆணும் பெண்ணும் பெண்ணும்ஊடல் கொள்வதில்லை ஓரிணச்சேர்கையாள் ஒரு குடும்ப பாரம்பரியத்தை உருவாக்க முடியாது,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
18,Homophobic-derogation,உடல் இச்சைகளுக்காகவே வாழும் ஈனபிறவியாக மனிதகுலம் மாறி வருகிறது,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
19,Homophobic-derogation,விபச்சாரத்தை விட கொடியது ஓரின gay lesbian சேர்க்கை,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
20,Homophobic-derogation,எந்த மிருகமாவது இப்படி செய்ததுன்டா அவை இயற்கை சார்ந்தே வாழ்கிரது,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
